ID;Severity;Area;Title;Description and impact;Steps to reproduce;Actual result;Expected result;How to fix;Location in the code;Covering cases
DEF-49;Minor;Accessibility and localisation;The form fields carry no autocomplete attributes;"Not one field has an autocomplete attribute, so the browser and the password manager do not recognise this as a sign-up form. Autofill for name, phone and address never fires and no password suggestion appears. The user types all seven fields by hand.";"1. Open the form in a browser with autofill enabled.
2. Place the cursor in the name field and check whether saved values are offered.
3. Check every field for an autocomplete attribute.";The autocomplete attribute is absent on all seven fields and no autofill suggestions appear.;"The fields carry given-name, family-name, tel, email and new-password.";Set the appropriate autocomplete value on each field.;frontend/src/components/screens/auth/AuthFields.tsx:29-160;TC-FV-060
DEF-50;Minor;Accessibility and localisation;Clicking the consent text does not toggle the checkbox;"The terms text sits in its own paragraph beside the field and is not wrapped in a label. Hitting the 16-by-16-pixel checkbox is noticeably harder than hitting the line of text, particularly on a touch screen.";"1. Open the form.
2. Click the text “J'ai lu et accepté les conditions générales d'utilisation de Wiregate”.
3. Check the state of the checkbox.";"The checkbox state is unchanged, and the page contains no label elements.";Clicking the text toggles the checkbox.;Wrap the checkbox and the text in a shared label.;frontend/src/components/screens/auth/AuthFields.tsx:149-162;TC-FV-081
DEF-51;Minor;Accessibility and localisation;Error messages are not programmatically associated with their fields;"The error text is rendered as a plain block after the field, without aria-describedby and without an alert role. A screen reader neither ties the error to the field nor announces its appearance, so a blind user discovers the problem only by returning to the field manually.";"1. Open the form with a screen reader running.
2. Trigger an error in any field.
3. Check the field for aria-describedby and the error block for a role.";"The fields have no aria-describedby, the error block has no alert role, and the text is never announced.";The error is tied to its field and announced when it appears.;"Give the error block an id, reference it from aria-describedby, and add role=""alert"".";frontend/src/components/ui/field/Field.tsx:58-60;TC-AX-005
DEF-52;Minor;Accessibility and localisation;Required fields are marked with nothing but a red asterisk;"Not one field carries the required attribute; the requirement is conveyed visually only. A screen reader reads the asterisk as punctuation or skips it, leaving the user unaware of which fields are mandatory.";"1. Open the form.
2. Check every field for a required attribute.
3. Listen to the fields with a screen reader.";"Zero fields carry the required attribute; the requirement is conveyed by colour and a symbol alone.";Fields are marked with required or aria-required.;Add required to the fields and keep the asterisk as a visual echo.;frontend/src/components/ui/field/Field.tsx:20;TC-AX-007
DEF-53;Minor;Accessibility and localisation;The email and phone fields are declared as plain text;"Both fields use type text instead of email and tel. On a mobile device the standard keyboard opens instead of the numeric and email ones, and the browser's built-in format check never runs. Filling the form on a phone takes noticeably longer.";"1. Open the form on a mobile device or with emulation enabled.
2. Tap the Numéro de téléphone field.
3. Tap the Votre email field.";Every text field has type text and the standard alphabetic keyboard opens.;The phone field uses type tel and the email field uses type email.;Pass the correct type to each field.;frontend/src/components/screens/auth/AuthFields.tsx:88-105;TC-FV-038 TC-FV-048
DEF-54;Minor;Frontend · field validation;The fields carry no maximum-length attribute;"Length limits exist only as validation rules, so the user can type or paste any number of characters and learns about the limit from an error message alone. When pasting a long string this reads as a refusal without a reason.";"1. Open the form.
2. Paste a string longer than 28 characters into the name field.
3. Check the fields for a maxlength attribute.";No field carries a maxlength attribute and input is not constrained.;"Input is capped at the field level, or the excess is trimmed with an explanation.";Pass maxLength to the field alongside the validation rule.;frontend/src/components/ui/field/Field.tsx:25;TC-FV-014
DEF-55;Minor;Accessibility and localisation;The document language is declared as English on a French interface;"The markup sets the language attribute to en while the entire interface is in French. A screen reader pronounces French text with English rules, and the browser's built-in translator never offers a translation.";"1. Open the form.
2. Inspect the lang attribute on the root markup element.";lang is set to en while the page content is entirely French.;lang is set to fr.;Correct the attribute and derive it from the selected locale.;frontend/public/index.html:2;TC-AX-006
DEF-56;Minor;Accessibility and localisation;Message texts inside one form are mixed across two languages;Field captions and some messages are French while the remaining error messages are English. Within a single form the user sees both “Ce champ est requis” and “First Name must be at least 4 characters”. For a French-speaking audience half the hints are unreadable.;"1. Open the form.
2. Trigger an error in the name field.
3. Trigger a format error in the phone field.
4. Compare the languages of the two messages.";The name field shows an English message while the phone field shows a French one.;Every interface text is in one language.;Translate the messages into French and move them into a localisation dictionary.;frontend/src/components/screens/auth/AuthFields.tsx:31-82;TC-AX-008
DEF-57;Minor;Frontend · layout;The tab title and favicon are still the template defaults;"The browser tab shows “React App” and the stock create-react-app icon. A user with several tabs open cannot find the right one, and in bookmarks and history the page looks like somebody else's scaffold.";"1. Open the form.
2. Look at the browser tab title and icon.";The title is “React App” and the icon is the create-react-app template logo.;The title carries the product name and the icon matches the brand.;"Replace the title, the favicon and the contents of manifest.json.";"frontend/public/index.html:27
frontend/public/favicon.ico";TC-UI-009
DEF-58;Minor;Frontend · layout;The social sign-up component is written but rendered nowhere;"The file with the Google and Facebook buttons exists in full, with the Facebook button hard-coded as disabled, yet no screen imports it. Dead code has to be carried through every refactor, and anyone reading the code goes looking for functionality that is not there.";"1. Open the form and look for the Google and Facebook buttons.
2. Count the buttons on the page.
3. Search the project for imports of the SocialMediaFields component.";"The page holds one button, S'inscrire, and the component is imported nowhere.";"Either the block is wired into the form, or the file is deleted.";Decide on the feature: wire it up or delete the file.;frontend/src/components/screens/auth/SocialMediaFields.tsx;TC-UI-006
DEF-59;Minor;Frontend · layout;The text for existing users is not a link;The bottom of the form asks “Vous avez déjà un compte?” but offers no sign-in link beside it. A registered user who lands here hits a dead end and has to find the sign-in page on their own.;"1. Open the form.
2. Scroll to the bottom of the card.
3. Click the text “Vous avez déjà un compte?”.";The text is not clickable and the form carries no link to a sign-in page.;A sign-in link sits next to the question.;"Add the link, or remove the text until a sign-in page exists.";frontend/src/components/screens/auth/AuthForm.tsx:40-42;TC-UI-007
DEF-60;Minor;Frontend · layout;The markup uses a font class Tailwind never generates;"The class font-OpenSans sits on the form card, but the Tailwind config has no font-family section, so the class is never generated. The typeface comes from a global rule in index.scss alone. The class creates a false impression of controlled typography and would survive any refactor of the global styles unnoticed.";"1. Build the frontend.
2. Search the built stylesheet for font-OpenSans.
3. Check tailwind.config.js for a fontFamily section.";font-OpenSans appears zero times in the built CSS and the config has no fontFamily section.;The class is declared in the config and sets a font family.;"Declare the family under theme.extend.fontFamily, or drop the class from the markup.";"frontend/src/components/screens/auth/AuthForm.tsx:16
frontend/tailwind.config.js:7";TC-UI-005
DEF-61;Minor;API · contract and validation;The response does not match the declared type;"The method is declared as returning ShowUserDto with four fields, yet it actually returns the saved entity together with the identifier, the consent flag and any stray fields from the request. An API consumer cannot rely on the declared contract, and the extra fields expose how the store is built.";"1. Send a valid POST /users/create.
2. Compare the fields of the response with the ShowUserDto declaration.";The response carries id and is_agree on top of the four declared fields.;The response contains exactly the fields declared in ShowUserDto.;"Assemble the response explicitly, or add ClassSerializerInterceptor with @Exclude on the hidden fields.";"backend/src/user/user.controller.ts:11
backend/src/user/dto/user.dto.ts:10-15";TC-API-013
DEF-62;Minor;API · security;The responses carry no security headers;"There is no content policy, no MIME-sniffing protection, no framing protection and no strict transport requirement. The helmet package is not installed. For a form that accepts passwords this is a baseline that is simply missing.";"1. Send any request to the API.
2. Inspect the full list of response headers.";"Content-Security-Policy, X-Content-Type-Options, X-Frame-Options and Strict-Transport-Security are all absent.";Those headers are present with helmet's default values.;Install helmet at the application entry point.;backend/src/main.ts:5-7;TC-SEC-008
DEF-63;Minor;API · security;A response header discloses the framework in use;Express adds a header naming the framework by default. That is a hint for automated scanning: knowing the stack narrows the set of vulnerabilities an attacker needs to probe.;"1. Send any request to the API.
2. Find the X-Powered-By header in the response.";X-Powered-By: Express.;The header is absent.;"Call disable('x-powered-by') on the Express instance, or install helmet.";backend/src/main.ts:5;TC-SEC-009
DEF-64;Minor;API · contract and validation;The internal JSON parser message is returned to the client;"A malformed body sends the parser's message, character position included, back to the caller. Harmless in itself, it signals that internal errors are not normalised into a single shape, and something more sensitive could leak later.";"1. Send POST /users/create with the body {oops and the header Content-Type: application/json.
2. Read the response body.";400 with the text “Unexpected token o in JSON at position 1”.;400 with a generic malformed-body message.;Add an exception filter that normalises parse errors into a single response.;backend/src/main.ts:5;TC-API-014
DEF-65;Minor;Data and database;The user record has no timestamps;"The table holds six columns and no created or updated marks. Investigating an incident, building a sign-up funnel or spotting traces of the overwrite from DEF-02 is impossible: nothing records when a row appeared or whether it changed.";"1. Start the database.
2. Run \d users and read the column list.";"The columns are id, first_name, last_name, email, phone_number, password. There is no created_at and no updated_at.";The table carries creation and modification timestamps.;Add @CreateDateColumn and @UpdateDateColumn and apply them through a migration.;backend/src/user/entity/user.entity.ts:5-21;TC-DB-004
DEF-66;Minor;Data and database;TypeORM is configured to reshape the schema automatically;"The synchronize option is on, so the schema is aligned to the entity classes on every start. Renaming a field in code silently drops the column along with its data. In production this is a direct route to data loss without a single migration.";"1. Open backend/ormconfig.ts.
2. Find the synchronize option.";synchronize: true.;synchronize is off and the schema is driven by migrations.;Turn the option off and introduce TypeORM migrations.;backend/ormconfig.ts:9;TC-DB-003
DEF-67;Minor;Data and database;Failed inserts consume identifier sequence values;"Every request that reaches the database and is rejected there still advances the counter. Harmless on its own, it indicates that invalid data passes validation and reaches the storage layer. Under a stream of bad requests the identifiers develop visible gaps.";"1. Empty the table.
2. Send two requests without the first_name field, each answering 500.
3. Create a valid user and check its identifier.";The successful record received identifier 5 instead of 3: two values were consumed by rejected inserts.;Identifiers run consecutively because invalid requests never reach the database.;Reject invalid data in validation before touching the database — see DEF-08.;backend/src/user/user.service.ts:18;TC-DB-005
DEF-68;Minor;API · contract and validation;The request body size is bounded only by the Express default;"No application-level limit exists on either layer, so the only boundary is the default hundred-kilobyte body parser. A 92-kilobyte name reaches the database successfully, because the column length is unbounded too.";"1. Send POST /users/create with a first_name of 92 kilobytes.
2. Send the same request at 204 kilobytes.
3. Check the table contents after the first request.";92 kilobytes answers 201 and the row is written. 204 kilobytes answers 413 request entity too large.;Both requests are rejected by an application-level length check.;Constrain field lengths in the DTO and set an explicit body parser limit.;backend/src/main.ts:5;TC-API-016
DEF-69;Minor;Infrastructure and build;The lint command silently rewrites source files;"The lint script has the auto-fix flag baked in, so the check does not report a problem, it edits the code. The pipeline step will never go red, while the developer sees unexplained changes in the working tree. Along the way it turns out that the committed code does not satisfy its own formatting configuration.";"1. Confirm the working tree is clean.
2. Run yarn lint in the backend directory.
3. Run git status.";"Four files changed: app.config.ts, user.dto.ts, user.controller.ts, user.service.ts. Linter output: 1 problem (0 errors, 1 warning).";The linter reports problems and leaves files untouched.;Remove the fix flag from the lint script and add a separate lint:fix script.;backend/package.json:16;TC-INF-004
DEF-70;Minor;Infrastructure and build;The database password is written directly into the run configuration;"The value is hard-coded in docker-compose and lands in the repository. Together with DEF-33, which publishes the port, and DEF-03, which stores user passwords in clear text, it completes a full compromise chain.";"1. Open docker-compose.yml.
2. Find the POSTGRES_PASSWORD variable.";"POSTGRES_PASSWORD: ""secret"" — the password sits in the repository in clear text.";The password comes from environment variables or a secret manager.;"Move the value into .env, add .env to .gitignore and ship a .env.example.";docker-compose.yml:36;TC-INF-013
DEF-71;Minor;Infrastructure and build;The backend starts without waiting for the database to be ready;"The database service has no readiness probe and the dependency is declared without a condition, so the backend container counts as started the moment the Postgres process launches. On a cold machine the backend can reach for the database before it accepts connections and crash. The defect reproduces intermittently, which makes it unpleasant to debug.";"1. Remove the local images and volumes so the start is cold.
2. Run docker compose up.
3. Read the backend container log for connection errors.";The database container has no health check and the dependency is declared without a condition.;The backend starts only once the database is accepting connections.;Add a healthcheck on pg_isready and set condition: service_healthy in depends_on.;docker-compose.yml:19-20;TC-INF-006
DEF-72;Minor;Infrastructure and build;Dependencies are installed into the mounted directory as root;"The containers run as root and install dependencies straight into the project source directory on the host. The node_modules directories, around a gigabyte in total, are owned by root, so a developer cannot delete or modify them without elevated rights. Build output is also mixed in with the sources.";"1. Start the stack with the README command.
2. Wait for the dependency installation to finish.
3. Run ls -ld backend/node_modules on the host.";The directories are owned by root:root and total about one gigabyte inside the source tree.;"The files belong to the user who started the stack, or the dependencies live in a named volume.";"Set user to the current user's id, or move node_modules into a dedicated volume.";"docker-compose.yml:15-16
docker-compose.yml:29-30";TC-INF-009
DEF-73;Minor;Infrastructure and build;The compose file uses an obsolete version key;"The version key is ignored by Compose v2 and produces a warning on every run. Noise in the output trains people to skip warnings, and something important eventually gets lost among them.";"1. Run docker compose up.
2. Read the first lines of output.";"Warning: “the attribute `version` is obsolete, it will be ignored”.";"The output is clean, with no warnings.";Delete the version line from docker-compose.yml.;docker-compose.yml:1;TC-INF-008
DEF-74;Minor;Non-functional;The frontend runs in development mode;"The configuration launches the development server, meaning no minification, source maps included and debugging tooling active. The demo stand does not reflect what a user would see: bundle size, load speed and error behaviour all differ from a production build.";"1. Open docker-compose.yml and inspect the frontend service command.
2. Open the application and check for source maps in the developer tools.";react-scripts start is used — a development server with source maps and no minification.;A production build is produced and served as static files for the demo.;Add a separate service or build stage that serves the output of react-scripts build.;docker-compose.yml:24;TC-NFR-002
DEF-75;Minor;API · security;Ownership of the email address is never confirmed;"The account is created immediately and no confirmation email is sent. Someone else's address can be registered, and together with DEF-09, which permits duplicates, and DEF-22, which imposes no rate limit, the database quickly fills with records for addresses their owners do not control.";"1. Register an address that is knowingly not yours.
2. Check whether a row appeared in the table.
3. Check whether a confirmation email is sent.";The record is created at once and no confirmation is requested.;The account stays inactive until the link in the email is followed.;Introduce address confirmation through a one-time link and store a confirmed flag on the record.;backend/src/user/user.service.ts:16-24;TC-SEC-012
DEF-76;Minor;Frontend · field validation;Email validation lets through domains that cannot exist;"The expression permits a domain beginning with a hyphen and an address with a bracketed IP literal. Both are meaningless in an ordinary consumer form and mean the address was mistyped, which the user discovers only by never receiving an email.";"1. Type a@-b.co into the email field.
2. Type a@[127.0.0.1].
3. Send the same values to the API.";"Both values are accepted by the form and by the server, answering 201.";Both values are rejected as malformed.;Use a vetted email validation library instead of a hand-written expression.;"frontend/src/shared/regex.ts:1
backend/src/config/regex.config.ts:4";TC-FV-043 TC-FV-044
DEF-77;Minor;Infrastructure and build;The environment variables are documented nowhere;"The repository holds neither a sample environment file nor a README section, although the application reads six variables. Deploying outside Docker or pointing the app at another database requires reading the variable names out of docker-compose and the sources.";"1. Clone the repository.
2. Look for a .env.example file.
3. Read the README for a description of the environment variables.";"There is no sample file, and the README contains only the start command with no variable documentation.";The repository ships a .env.example listing every variable and its purpose.;Add .env.example and an environment section to the README.;README.md;TC-INF-011
DEF-78;Minor;API · security;The password travels between the frontend and the API unencrypted;"The API address uses the http scheme, so the password crosses the network in clear text. On a local machine this is harmless, but nothing in the default configuration prevents the same stand from being deployed beyond localhost as is.";"1. Open docker-compose.yml and inspect the REACT_APP_API_URL value.
2. Submit the form and check the request scheme in the network panel.";The address is http://localhost:8000 and the request carrying the password goes over http.;"The exchange runs over https, with local development explicitly carved out.";Configure TLS for non-local environments and enable strict transport through helmet.;docker-compose.yml:27-28;TC-SEC-010
