ID;Критичность;Область;Заголовок;Описание и влияние;Шаги воспроизведения;Фактический результат;Ожидаемый результат;Как починить;Локализация по коду;Покрывающие кейсы
DEF-39;Незначительный;Фронтенд · валидация полей;"Ошибка формата телефона сообщает, что поле обязательно";"В правиле проверки формата указан текст «Ce champ est requis», то есть «поле обязательно». Пользователь видит его при заполненном поле и не понимает, что именно исправлять. Это прямое следствие копирования текста из правила обязательности.";"1. Открыть форму.
2. Ввести +33612345678 в поле Numéro de téléphone.
3. Прочитать текст ошибки.";Показано «Ce champ est requis» при заполненном поле.;Сообщение описывает требуемый формат номера.;"Заменить текст на описание формата, например «Entrez un numéro à 8–16 chiffres».";frontend/src/components/screens/auth/AuthFields.tsx:79-82;TC-FV-039
DEF-40;Незначительный;Фронтенд · валидация полей;Значения полей не обрезаются по краям перед отправкой;"Пробелы в начале и конце сохраняются в базу как есть. Адрес почты, скопированный с пробелом на конце — самый частый сценарий вставки из буфера, — вместо обрезки получает отказ по формату, и пользователь не видит причины.";"1. Ввести в поле имени значение с пробелами по краям.
2. Вставить в поле почты адрес с пробелом на конце.
3. Отправить форму и прочитать сохранённое значение имени.";Имя сохранено вместе с пробелами. Адрес с пробелом на конце отклонён с сообщением о неверном формате.;Значения обрезаются перед проверкой и перед отправкой.;Включить setValueAs или общий обработчик trim на всех текстовых полях.;frontend/src/components/screens/auth/Auth.tsx:23-36;TC-FV-012 TC-FV-045
DEF-41;Незначительный;API · контракт и валидация;Проверка на пустоту пропускает строку из одних пробелов;"Проверка сравнивает значение на истинность, а строка из пробелов истинна. Поэтому имя из четырёх пробелов проходит и клиентскую проверку набора символов, и серверную проверку на пустоту, и оказывается в базе.";"1. Отправить POST /users/create со значением ""first_name"": ""    "".
2. Прочитать сохранённую строку.";"Ответ 201, в базе строка из пробелов.";400: поле пусто после обрезки.;Обрезать значение перед проверкой и сравнивать длину результата с нулём.;backend/src/user/user.service.ts:34-41;TC-FV-011 TC-API-020
DEF-42;Незначительный;Фронтенд · вёрстка;Над чекбоксом согласия отображается посторонняя звёздочка;"Компонент поля всегда рисует блок подписи со звёздочкой обязательности. Чекбоксу подпись не передана, поэтому остаётся пустая строка с одиноким красным символом, не относящимся ни к чему.";"1. Открыть форму.
2. Посмотреть область между полем подтверждения пароля и текстом согласия.";Между полями отображается одиночная красная звёздочка без подписи.;Посторонних символов в этом месте нет.;"Не отрисовывать блок подписи, если свойство placeholder не передано.";"frontend/src/components/ui/field/Field.tsx:17-21
frontend/src/components/screens/auth/AuthFields.tsx:151";TC-FV-083
DEF-43;Незначительный;Фронтенд · валидация полей;У чекбокса согласия не задан текст ошибки;"Правило обязательности записано объектом со значением true, но без поля с текстом сообщения. Блок ошибки отрисовывается пустым: пользователь видит, что кнопка не работает, но не понимает, чего не хватает.";"1. Заполнить все поля формы валидно.
2. Не ставить галочку согласия.
3. Осмотреть область под чекбоксом и состояние кнопки.";"Объект ошибки существует, но его свойство с текстом равно undefined, под чекбоксом пустой элемент.";"Показан текст, объясняющий необходимость согласия.";Задать message в правиле обязательности.;frontend/src/components/screens/auth/AuthFields.tsx:153-155;TC-FV-082
DEF-44;Незначительный;Фронтенд · вёрстка;Неактивная кнопка отправки выглядит точно как активная;"Кнопка заблокирована, пока форма невалидна, но сохраняет тот же ярко-жёлтый фон, полную непрозрачность и работающий эффект при наведении. Пользователь нажимает, ничего не происходит, и объяснения нигде нет. В сочетании с DEF-43 и DEF-45 это даёт форму, которая молча отказывается работать.";"1. Открыть форму, ничего не заполняя.
2. Навести курсор на кнопку S'inscrire и нажать её.
3. Сравнить вычисленные стили кнопки с её видом при заполненной форме.";"disabled равно true, при этом фон rgb(255, 208, 1) и непрозрачность 1 совпадают с активным состоянием, эффект наведения срабатывает.";"Неактивное состояние видно: приглушённый фон, изменённый курсор, отсутствие эффекта наведения.";"Добавить стили для disabled либо не блокировать кнопку, а показывать ошибки по нажатию.";"frontend/src/components/ui/button/Button.tsx:10-16
frontend/src/components/screens/auth/AuthForm.tsx:35-38";TC-UI-004
DEF-45;Незначительный;Фронтенд · логика формы;"Расхождение паролей не показывается, если изменить основное поле после подтверждения";"Правило совпадения проверяется только при изменении поля подтверждения. Если пароли уже совпали, а затем основной пароль отредактировали, ошибка не появляется, но форма становится невалидной и кнопка гаснет. Получается тупиковое состояние: видимых ошибок нет, отправить нельзя.";"1. Ввести одинаковые пароли в оба поля и убедиться, что кнопка активна.
2. Изменить только основное поле пароля.
3. Осмотреть поле подтверждения и состояние кнопки.";"Текст ошибки под полем подтверждения отсутствует, при этом кнопка отправки становится неактивной.";Под полем подтверждения появляется «The passwords do not match».;Указать deps на поле пароля либо вызывать trigger для подтверждения при его изменении.;frontend/src/components/screens/auth/AuthFields.tsx:139-141;TC-FV-071
DEF-46;Незначительный;Маршрутизация;Неизвестный маршрут отдаёт полностью пустую страницу;"В маршрутизаторе объявлены только корень и /success, перехватывающего маршрута нет. Опечатка в адресе или устаревшая ссылка приводят к белому экрану без единого элемента и без возможности вернуться иначе, чем правкой адреса вручную.";"1. Открыть приложение.
2. Перейти по адресу /nonexistent-page-404.
3. Осмотреть содержимое страницы и корневой элемент.";"Страница пуста, корневой элемент не содержит ни одного дочернего узла.";Показана страница 404 со ссылкой на форму либо выполнено перенаправление.;Добавить маршрут с путём * и страницей 404.;frontend/src/App.tsx:7-10;TC-RT-001
DEF-47;Незначительный;Маршрутизация;Экран благодарности открывается напрямую без регистрации;"Маршрут /success не защищён состоянием навигации, поэтому экран доступен по прямой ссылке кому угодно. Это не уязвимость, но вводит в заблуждение и делает бессмысленным подсчёт конверсии по просмотрам экрана.";"1. Открыть приложение в новой вкладке.
2. Перейти по адресу /success, не заполняя форму.";Показан экран «Thank you for subscription!» без предшествующей регистрации.;Выполняется перенаправление на форму.;Передавать признак успешной отправки через состояние навигации и перенаправлять при его отсутствии.;frontend/src/App.tsx:9;TC-RT-002
DEF-48;Незначительный;Доступность и локализация;Переключатель видимости пароля недоступен с клавиатуры;"Иконка реализована обычным блоком с обработчиком клика: без атрибута tabindex, без роли и без доступного имени. Пользователь, работающий только с клавиатуры, не может ни сфокусировать её, ни нажать, ни узнать о её существовании. Фокусируемых элементов на странице всего восемь: семь полей и кнопка.";"1. Открыть форму.
2. Пройти всю форму клавишей Tab.
3. Попытаться открыть введённый пароль без мыши.";"Элемент имеет тег div, атрибуты tabindex, role и aria-label отсутствуют, при обходе клавишей Tab он пропускается.";Переключатель получает фокус и срабатывает по Enter и пробелу.;"Заменить блок на button с типом button, атрибутом aria-pressed и текстовой подписью.";frontend/src/components/ui/field/Field.tsx:40-41;TC-AX-002
DEF-49;Незначительный;Доступность и локализация;У полей формы не заданы атрибуты автозаполнения;"Ни одно поле не имеет атрибута autocomplete, поэтому браузер и менеджер паролей не распознают, что это форма регистрации. Автозаполнение имени, телефона и адреса не срабатывает, предложение сгенерировать пароль не появляется. Пользователь заполняет семь полей вручную.";"1. Открыть форму в браузере со включённым автозаполнением.
2. Поставить курсор в поле имени и проверить, предлагает ли браузер сохранённые значения.
3. Проверить наличие атрибута autocomplete у всех полей.";"Атрибут autocomplete отсутствует у всех семи полей, предложений автозаполнения нет.";"Полям заданы given-name, family-name, tel, email и new-password.";Проставить соответствующие значения autocomplete каждому полю.;frontend/src/components/screens/auth/AuthFields.tsx:29-160;TC-FV-060
DEF-50;Незначительный;Доступность и локализация;Клик по тексту согласия не переключает чекбокс;"Текст условий вынесен в отдельный абзац рядом с полем и не обёрнут в label. Попасть в сам чекбокс размером 16 на 16 пикселей заметно труднее, чем в строку текста, особенно на сенсорном экране.";"1. Открыть форму.
2. Нажать на текст «J'ai lu et accepté les conditions générales d'utilisation de Wiregate».
3. Посмотреть состояние чекбокса.";"Состояние чекбокса не изменилось, элементов label на странице нет.";Клик по тексту переключает чекбокс.;Обернуть чекбокс и текст в общий label.;frontend/src/components/screens/auth/AuthFields.tsx:149-162;TC-FV-081
DEF-51;Незначительный;Доступность и локализация;Сообщения об ошибках не связаны с полями программно;"Текст ошибки отрисовывается обычным блоком после поля, без атрибута aria-describedby и без роли оповещения. Программа экранного доступа не связывает ошибку с полем и не объявляет её появление, поэтому незрячий пользователь узнаёт о проблеме, только вернувшись к полю вручную.";"1. Открыть форму со включённой программой экранного доступа.
2. Вызвать ошибку в любом поле.
3. Проверить наличие aria-describedby у поля и role у блока ошибки.";"Атрибут aria-describedby у полей отсутствует, у блока ошибки нет роли alert, появление текста не объявляется.";Ошибка связана с полем и объявляется при появлении.;"Выдать блоку ошибки идентификатор, сослаться на него из aria-describedby и добавить role alert.";frontend/src/components/ui/field/Field.tsx:58-60;TC-AX-005
DEF-52;Незначительный;Доступность и локализация;Обязательность полей передаётся только красной звёздочкой;"Атрибут required ни у одного поля не проставлен, обязательность обозначена исключительно визуально. Программа экранного доступа прочитает символ звёздочки как знак препинания или промолчит, и пользователь не узнает, какие поля обязательны.";"1. Открыть форму.
2. Проверить наличие атрибута required у всех полей.
3. Прослушать поля программой экранного доступа.";"Полей с атрибутом required — ноль, обязательность передаётся только цветом и символом.";Поля помечены атрибутом required или aria-required.;Проставить required полям и оставить звёздочку как визуальное дублирование.;frontend/src/components/ui/field/Field.tsx:20;TC-AX-007
DEF-53;Незначительный;Доступность и локализация;Поля почты и телефона объявлены как обычный текст;"Оба поля имеют тип text вместо email и tel. На мобильном устройстве открывается обычная клавиатура вместо цифровой и почтовой, а встроенная проверка формата браузером не работает. Это заметно удлиняет заполнение формы с телефона.";"1. Открыть форму на мобильном устройстве или во включённой эмуляции.
2. Коснуться поля Numéro de téléphone.
3. Коснуться поля Votre email.";"Типы всех текстовых полей равны text, открывается обычная буквенная клавиатура.";"Поле телефона имеет тип tel, поле почты — email.";Передавать корректный тип каждому полю.;frontend/src/components/screens/auth/AuthFields.tsx:88-105;TC-FV-038 TC-FV-048
DEF-54;Незначительный;Фронтенд · валидация полей;У полей не задан атрибут максимальной длины;"Ограничения длины существуют только как правила проверки, поэтому пользователь может ввести или вставить сколько угодно символов и узнаёт о лимите лишь из сообщения об ошибке. При вставке длинной строки из буфера это выглядит как отказ без причины.";"1. Открыть форму.
2. Вставить в поле имени строку длиннее 28 символов.
3. Проверить наличие атрибута maxlength у полей.";"Атрибут maxlength отсутствует у всех полей, ввод не ограничивается.";Ввод ограничен на уровне поля либо лишние символы явно отсекаются с пояснением.;Передавать maxLength в поле вместе с правилом проверки.;frontend/src/components/ui/field/Field.tsx:25;TC-FV-014
DEF-55;Незначительный;Доступность и локализация;Язык документа объявлен английским при французском интерфейсе;"В разметке указан атрибут языка en, тогда как весь интерфейс на французском. Программа экранного доступа читает французский текст английскими правилами произношения, а встроенный переводчик браузера не предлагает перевод.";"1. Открыть форму.
2. Посмотреть атрибут lang у корневого элемента разметки.";lang равен en при полностью французском содержимом страницы.;lang равен fr.;Исправить атрибут и задавать его из выбранной локали.;frontend/public/index.html:2;TC-AX-006
DEF-56;Незначительный;Доступность и локализация;Тексты сообщений в одной форме смешаны на двух языках;"Подписи полей и часть сообщений на французском, остальные сообщения об ошибках на английском. Внутри одной формы пользователь видит «Ce champ est requis» и «First Name must be at least 4 characters». Для франкоязычной аудитории половина подсказок нечитаема.";"1. Открыть форму.
2. Вызвать ошибку в поле имени.
3. Вызвать ошибку формата в поле телефона.
4. Сравнить языки двух сообщений.";"В поле имени показано английское сообщение, в поле телефона — французское.";Все тексты интерфейса на одном языке.;Перевести сообщения на французский и вынести их в словарь локализации.;frontend/src/components/screens/auth/AuthFields.tsx:31-82;TC-AX-008
DEF-57;Незначительный;Фронтенд · вёрстка;Заголовок вкладки и значок сайта остались от шаблона;"Во вкладке браузера отображается «React App» и стандартный значок create-react-app. Пользователь с несколькими открытыми вкладками не найдёт нужную, а в закладках и истории страница выглядит как чужая заготовка.";"1. Открыть форму.
2. Посмотреть заголовок и значок вкладки браузера.";"Заголовок «React App», значок — логотип шаблона create-react-app.";"Заголовок содержит название продукта, значок соответствует бренду.";"Заменить title, favicon и содержимое manifest.json.";"frontend/public/index.html:27
frontend/public/favicon.ico";TC-UI-009
DEF-58;Незначительный;Фронтенд · вёрстка;"Компонент регистрации через соцсети написан, но нигде не отрисован";"Файл с кнопками Google и Facebook существует целиком, у кнопки Facebook жёстко проставлено неактивное состояние, но ни один экран этот компонент не подключает. Мёртвый код придётся поддерживать при каждом рефакторинге, а читающий код будет искать несуществующую функциональность.";"1. Открыть форму и поискать кнопки Google и Facebook.
2. Подсчитать число кнопок на странице.
3. Найти импорты компонента SocialMediaFields в проекте.";На странице одна кнопка — S'inscrire. Импортов компонента в проекте нет.;"Либо блок подключён к форме, либо файл удалён.";Принять решение по функциональности: подключить или удалить файл.;frontend/src/components/screens/auth/SocialMediaFields.tsx;TC-UI-006
DEF-59;Незначительный;Фронтенд · вёрстка;Текст для существующих пользователей не является ссылкой;"Внизу формы стоит вопрос «Vous avez déjà un compte?», но ссылки на вход рядом нет. Зарегистрированный пользователь, попавший на эту страницу, упирается в тупик и вынужден искать вход самостоятельно.";"1. Открыть форму.
2. Прокрутить к нижней части карточки.
3. Нажать на текст «Vous avez déjà un compte?».";"Текст не кликабелен, ссылки на страницу входа на форме нет.";Рядом с вопросом стоит ссылка на вход.;Добавить ссылку либо убрать текст до появления страницы входа.;frontend/src/components/screens/auth/AuthForm.tsx:40-42;TC-UI-007
DEF-60;Незначительный;Фронтенд · вёрстка;"В разметке используется класс шрифта, которого Tailwind не создаёт";"Класс font-OpenSans проставлен на карточке формы, но в конфигурации Tailwind нет раздела с семействами шрифтов, поэтому такой класс не генерируется. Шрифт применяется исключительно глобальным правилом в index.scss. Класс создаёт ложное впечатление управляемой типографики и переживёт любой рефакторинг глобальных стилей незамеченным.";"1. Собрать фронтенд.
2. Найти строку font-OpenSans в собранном файле стилей.
3. Проверить наличие раздела fontFamily в tailwind.config.js.";"Вхождений font-OpenSans в собранном CSS ноль, раздела fontFamily в конфигурации нет.";Класс объявлен в конфигурации и задаёт семейство шрифтов.;Объявить семейство в theme.extend.fontFamily либо убрать класс из разметки.;"frontend/src/components/screens/auth/AuthForm.tsx:16
frontend/tailwind.config.js:7";TC-UI-005
DEF-61;Незначительный;API · контракт и валидация;Ответ не соответствует объявленному типу;"Метод объявлен возвращающим ShowUserDto с четырьмя полями, а фактически отдаёт сохранённую сущность вместе с идентификатором, признаком согласия и любыми посторонними полями из запроса. Потребитель API не может опираться на объявленный контракт, а лишние поля раскрывают внутреннее устройство хранилища.";"1. Отправить корректный POST /users/create.
2. Сравнить состав полей ответа с объявлением ShowUserDto.";В ответе присутствуют id и is_agree сверх четырёх объявленных полей.;"Ответ содержит ровно поля, объявленные в ShowUserDto.";Собирать ответ явно либо подключить ClassSerializerInterceptor с @Exclude на скрытых полях.;"backend/src/user/user.controller.ts:11
backend/src/user/dto/user.dto.ts:10-15";TC-API-013
DEF-62;Незначительный;API · безопасность;В ответах нет заголовков безопасности;"Ни политики содержимого, ни запрета на угадывание типа, ни защиты от встраивания в рамку, ни строгого требования HTTPS. Пакет helmet не подключён. Для формы, принимающей пароли, это базовый минимум, которого нет.";"1. Отправить любой запрос к API.
2. Посмотреть полный список заголовков ответа.";"Заголовки Content-Security-Policy, X-Content-Type-Options, X-Frame-Options и Strict-Transport-Security отсутствуют.";Перечисленные заголовки присутствуют со значениями по умолчанию из helmet.;Подключить helmet в точке входа приложения.;backend/src/main.ts:5-7;TC-SEC-008
DEF-63;Незначительный;API · безопасность;Заголовок ответа раскрывает используемый фреймворк;"Express по умолчанию добавляет заголовок с названием фреймворка. Это подсказка для автоматизированного сканирования: зная стек, атакующий сужает набор проверяемых уязвимостей.";"1. Отправить любой запрос к API.
2. Найти в ответе заголовок X-Powered-By.";X-Powered-By: Express.;Заголовок отсутствует.;Вызвать disable('x-powered-by') на экземпляре Express или подключить helmet.;backend/src/main.ts:5;TC-SEC-009
DEF-64;Незначительный;API · контракт и валидация;Внутренний текст ошибки разбора JSON возвращается клиенту;"При некорректном теле запроса наружу уходит сообщение парсера с позицией символа. Само по себе оно безобидно, но это признак того, что внутренние ошибки не приводятся к единому формату, и в будущем наружу может уйти что-то более чувствительное.";"1. Отправить POST /users/create с телом {oops и заголовком Content-Type: application/json.
2. Прочитать тело ответа.";400 с текстом «Unexpected token o in JSON at position 1».;400 с обобщённым сообщением о некорректном теле запроса.;"Добавить фильтр исключений, приводящий ошибки разбора к единому ответу.";backend/src/main.ts:5;TC-API-014
DEF-65;Незначительный;Данные и БД;У записи пользователя нет временных меток;"В таблице шесть колонок, отметок создания и изменения нет. Разобрать инцидент, построить воронку регистраций или обнаружить следы перезаписи из DEF-02 невозможно: определить, когда строка появилась и менялась ли она, нечем.";"1. Поднять базу.
2. Выполнить \d users и посмотреть список колонок.";"Колонки id, first_name, last_name, email, phone_number, password. Колонок created_at и updated_at нет.";В таблице есть отметки создания и изменения записи.;Добавить @CreateDateColumn и @UpdateDateColumn и применить миграцией.;backend/src/user/entity/user.entity.ts:5-21;TC-DB-004
DEF-66;Незначительный;Данные и БД;TypeORM настроен автоматически приводить схему к виду сущностей;"Параметр synchronize включён, поэтому при каждом старте схема подгоняется под классы сущностей. Переименование поля в коде молча удалит колонку вместе с данными. Для рабочего окружения это прямой путь к потере данных без единой строки миграции.";"1. Открыть backend/ormconfig.ts.
2. Найти параметр synchronize.";synchronize: true.;"synchronize отключён, схемой управляют миграции.";Отключить параметр и завести миграции TypeORM.;backend/ormconfig.ts:9;TC-DB-003
DEF-67;Незначительный;Данные и БД;Неудачные вставки расходуют значения последовательности идентификаторов;"Каждый запрос, дошедший до базы и отклонённый ею, увеличивает счётчик. Само по себе это безобидно, но служит индикатором того, что некорректные данные проходят валидацию и доходят до слоя хранения. При потоке ошибочных запросов в идентификаторах появляются заметные пропуски.";"1. Очистить таблицу.
2. Отправить два запроса без поля first_name, каждый из которых отвечает 500.
3. Создать корректного пользователя и посмотреть его идентификатор.";Успешная запись получила идентификатор 5 вместо 3: два значения израсходованы отклонёнными вставками.;"Идентификаторы идут подряд, потому что некорректные запросы до базы не доходят.";"Отсекать некорректные данные валидацией до обращения к базе, см. DEF-08.";backend/src/user/user.service.ts:18;TC-DB-005
DEF-68;Незначительный;API · контракт и валидация;Размер тела запроса ограничен только стандартным лимитом Express;"Прикладного ограничения нет ни на одном слое, поэтому единственная граница — стандартные сто килобайт разбора тела. Имя размером 92 килобайта успешно доходит до базы, потому что длина колонки тоже не ограничена.";"1. Отправить POST /users/create, где first_name занимает 92 килобайта.
2. Отправить такой же запрос размером 204 килобайта.
3. Проверить содержимое таблицы после первого запроса.";92 килобайта — ответ 201 и строка записана. 204 килобайта — ответ 413 request entity too large.;Оба запроса отклонены прикладной проверкой длины поля.;Ограничить длину полей в DTO и задать явный лимит разбора тела.;backend/src/main.ts:5;TC-API-016
DEF-69;Незначительный;Инфраструктура и сборка;Команда проверки стиля молча переписывает исходные файлы;"В скрипт линтера зашит флаг автоматического исправления, поэтому проверка не сообщает о проблеме, а правит код. В конвейере шаг никогда не покраснеет, а у разработчика появятся необъяснимые изменения в рабочем дереве. Попутно выясняется, что закоммиченный код не соответствует собственной конфигурации форматирования.";"1. Убедиться, что рабочее дерево чистое.
2. Выполнить yarn lint в каталоге бэкенда.
3. Выполнить git status.";"Изменены четыре файла: app.config.ts, user.dto.ts, user.controller.ts, user.service.ts. Вывод линтера: 1 problem (0 errors, 1 warning).";Линтер сообщает о проблемах и не меняет файлы.;Убрать флаг исправления из скрипта lint и завести отдельный скрипт lint:fix.;backend/package.json:16;TC-INF-004
DEF-70;Незначительный;Инфраструктура и сборка;Пароль базы данных записан прямо в файле конфигурации запуска;"Значение задано строкой в docker-compose и попадает в репозиторий. Вместе с DEF-33, публикующим порт наружу, и DEF-03, хранящим пароли пользователей открытым текстом, это выстраивается в законченную цепочку компрометации.";"1. Открыть docker-compose.yml.
2. Найти переменную POSTGRES_PASSWORD.";"POSTGRES_PASSWORD: ""secret"" — пароль в открытом виде в репозитории.";Пароль берётся из переменных окружения или системы управления секретами.;"Вынести значение в .env, добавить .env в .gitignore и приложить .env.example.";docker-compose.yml:36;TC-INF-013
DEF-71;Незначительный;Инфраструктура и сборка;"Бэкенд стартует, не дожидаясь готовности базы";"У сервиса базы нет проверки готовности, а зависимость объявлена без условия, поэтому контейнер бэкенда считается запущенным сразу после старта процесса Postgres. На холодной машине бэкенд может обратиться к базе раньше, чем та примет подключения, и упасть. Дефект воспроизводится нестабильно, что делает его неприятным в отладке.";"1. Удалить локальные образы и тома, чтобы старт был холодным.
2. Выполнить docker compose up.
3. Посмотреть журнал контейнера бэкенда на предмет ошибок подключения.";"Проверка готовности у контейнера базы отсутствует, зависимость объявлена без условия.";"Бэкенд стартует только после того, как база начала принимать подключения.";Добавить healthcheck на pg_isready и указать condition: service_healthy в depends_on.;docker-compose.yml:19-20;TC-INF-006
DEF-72;Незначительный;Инфраструктура и сборка;Зависимости устанавливаются в примонтированный каталог от имени root;"Контейнеры работают от root и ставят зависимости прямо в исходный каталог проекта на хосте. Каталоги node_modules общим объёмом около гигабайта принадлежат root, поэтому разработчик не может удалить или изменить их без повышения прав. Сборка также смешивается с исходниками.";"1. Поднять стек командой из README.
2. Дождаться установки зависимостей.
3. Выполнить ls -ld backend/node_modules на хосте.";"Каталоги принадлежат root:root, суммарный объём около одного гигабайта в каталоге с исходниками.";"Файлы принадлежат пользователю, запустившему стек, либо зависимости лежат в именованном томе.";Указать user с идентификатором текущего пользователя либо вынести node_modules в отдельный том.;"docker-compose.yml:15-16
docker-compose.yml:29-30";TC-INF-009
DEF-73;Незначительный;Инфраструктура и сборка;В файле запуска используется устаревший ключ версии;"Ключ version в Compose второго поколения игнорируется и вызывает предупреждение при каждом запуске. Шум в выводе приучает не читать предупреждения, среди которых потом теряется что-то важное.";"1. Выполнить docker compose up.
2. Прочитать первые строки вывода.";"Предупреждение: «the attribute `version` is obsolete, it will be ignored».";"Вывод чистый, предупреждений нет.";Удалить строку version из docker-compose.yml.;docker-compose.yml:1;TC-INF-008
DEF-74;Незначительный;Нефункциональные;Фронтенд запускается в режиме разработки;"В конфигурации указан запуск сервера разработки, то есть без минификации, с картами исходников и со средствами отладки. Демонстрационный стенд не отражает того, что увидит пользователь: ни размер бандла, ни скорость загрузки, ни поведение при ошибках не соответствуют рабочей сборке.";"1. Открыть docker-compose.yml и посмотреть команду сервиса frontend.
2. Открыть приложение и проверить наличие карт исходников в панели разработчика.";Запускается react-scripts start — сервер разработки с картами исходников и без минификации.;Для демонстрации собирается рабочая сборка и отдаётся статикой.;"Добавить отдельный сервис или стадию сборки, отдающую результат react-scripts build.";docker-compose.yml:24;TC-NFR-002
DEF-75;Незначительный;API · безопасность;Владение адресом почты не подтверждается;"Учётная запись создаётся сразу, письма с подтверждением нет. Можно зарегистрировать чужой адрес, а вместе с DEF-09, разрешающим дубликаты, и DEF-22, не ограничивающим частоту, база быстро наполняется записями на адреса, которые их владельцам не принадлежат.";"1. Зарегистрировать заведомо чужой адрес почты.
2. Проверить, появилась ли запись в таблице.
3. Проверить, отправляется ли письмо подтверждения.";"Запись создана немедленно, подтверждение не запрашивается.";Учётная запись не активна до перехода по ссылке из письма.;Ввести подтверждение адреса по одноразовой ссылке и хранить признак подтверждения в записи.;backend/src/user/user.service.ts:16-24;TC-SEC-012
DEF-76;Незначительный;Фронтенд · валидация полей;Проверка адреса почты пропускает заведомо несуществующие домены;"Выражение допускает домен, начинающийся с дефиса, и адрес с IP-литералом в квадратных скобках. Оба варианта в обычной пользовательской форме бессмысленны и означают, что адрес указан с ошибкой, а пользователь узнает об этом только не получив письмо.";"1. Ввести в поле почты a@-b.co.
2. Ввести a@[127.0.0.1].
3. Отправить те же значения в API.";"Оба значения приняты и формой, и сервером, ответ 201.";Оба значения отклонены как некорректные.;Использовать проверенную библиотеку проверки адреса вместо собственного выражения.;"frontend/src/shared/regex.ts:1
backend/src/config/regex.config.ts:4";TC-FV-043 TC-FV-044
DEF-77;Незначительный;Инфраструктура и сборка;Переменные окружения нигде не описаны;"В репозитории нет ни файла-образца окружения, ни раздела в README, хотя приложение читает шесть переменных. Развернуть проект не в Docker или подключить его к другой базе можно, только вычитав имена переменных из docker-compose и исходников.";"1. Склонировать репозиторий.
2. Поискать файл .env.example.
3. Прочитать README на предмет описания переменных окружения.";"Файла-образца нет, README содержит только команду запуска, описания переменных нет.";В репозитории есть .env.example со всеми переменными и их назначением.;Добавить .env.example и раздел с описанием переменных в README.;README.md;TC-INF-011
DEF-78;Незначительный;API · безопасность;Пароль передаётся между фронтендом и API по незашифрованному каналу;"Адрес API задан по схеме http, то есть пароль уходит по сети в открытом виде. На локальной машине это безвредно, но в конфигурации по умолчанию нет ничего, что помешало бы развернуть стенд в таком виде за пределами localhost.";"1. Открыть docker-compose.yml и посмотреть значение REACT_APP_API_URL.
2. Отправить форму и посмотреть схему запроса в панели сети.";"Адрес задан как http://localhost:8000, запрос с паролем уходит по http.";"Обмен идёт по https, для локальной разработки это явно оговорено.";Настроить TLS для внешних окружений и включить строгий транспорт через helmet.;docker-compose.yml:27-28;TC-SEC-010
